id,buying,maint,doors,persons,lug_boot,safety
0,very high,very high,2,2,small,low
1,very high,very high,2,2,small,med
2,very high,very high,2,2,small,high
3,very high,very high,2,2,med,low
4,very high,very high,2,2,med,med
5,very high,very high,2,2,med,high
6,very high,very high,2,2,big,low
7,very high,very high,2,2,big,med
8,very high,very high,2,2,big,high
9,very high,very high,2,4,small,low
10,very high,very high,2,4,small,med
11,very high,very high,2,4,small,high
12,very high,very high,2,4,med,low
13,very high,very high,2,4,med,med
14,very high,very high,2,4,med,high
15,very high,very high,2,4,big,low
16,very high,very high,2,4,big,med
17,very high,very high,2,4,big,high
18,very high,very high,2,more,small,low
19,very high,very high,2,more,small,med
20,very high,very high,2,more,small,high
21,very high,very high,2,more,med,low
22,very high,very high,2,more,med,med
23,very high,very high,2,more,med,high
24,very high,very high,2,more,big,low
25,very high,very high,2,more,big,med
26,very high,very high,2,more,big,high
27,very high,very high,3,2,small,low
28,very high,very high,3,2,small,med
29,very high,very high,3,2,small,high
30,very high,very high,3,2,med,low
31,very high,very high,3,2,med,med
32,very high,very high,3,2,med,high
33,very high,very high,3,2,big,low
34,very high,very high,3,2,big,med
35,very high,very high,3,2,big,high
36,very high,very high,3,4,small,low
37,very high,very high,3,4,small,med
38,very high,very high,3,4,small,high
39,very high,very high,3,4,med,low
40,very high,very high,3,4,med,med
41,very high,very high,3,4,med,high
42,very high,very high,3,4,big,low
43,very high,very high,3,4,big,med
44,very high,very high,3,4,big,high
45,very high,very high,3,more,small,low
46,very high,very high,3,more,small,med
47,very high,very high,3,more,small,high
48,very high,very high,3,more,med,low
49,very high,very high,3,more,med,med
50,very high,very high,3,more,med,high
51,very high,very high,3,more,big,low
52,very high,very high,3,more,big,med
53,very high,very high,3,more,big,high
54,very high,very high,4,2,small,low
55,very high,very high,4,2,small,med
56,very high,very high,4,2,small,high
57,very high,very high,4,2,med,low
58,very high,very high,4,2,med,med
59,very high,very high,4,2,med,high
60,very high,very high,4,2,big,low
61,very high,very high,4,2,big,med
62,very high,very high,4,2,big,high
63,very high,very high,4,4,small,low
64,very high,very high,4,4,small,med
65,very high,very high,4,4,small,high
66,very high,very high,4,4,med,low
67,very high,very high,4,4,med,med
68,very high,very high,4,4,med,high
69,very high,very high,4,4,big,low
70,very high,very high,4,4,big,med
71,very high,very high,4,4,big,high
72,very high,very high,4,more,small,low
73,very high,very high,4,more,small,med
74,very high,very high,4,more,small,high
75,very high,very high,4,more,med,low
76,very high,very high,4,more,med,med
77,very high,very high,4,more,med,high
78,very high,very high,4,more,big,low
79,very high,very high,4,more,big,med
80,very high,very high,4,more,big,high
81,very high,very high,5more,2,small,low
82,very high,very high,5more,2,small,med
83,very high,very high,5more,2,small,high
84,very high,very high,5more,2,med,low
85,very high,very high,5more,2,med,med
86,very high,very high,5more,2,med,high
87,very high,very high,5more,2,big,low
88,very high,very high,5more,2,big,med
89,very high,very high,5more,2,big,high
90,very high,very high,5more,4,small,low
91,very high,very high,5more,4,small,med
92,very high,very high,5more,4,small,high
93,very high,very high,5more,4,med,low
94,very high,very high,5more,4,med,med
95,very high,very high,5more,4,med,high
96,very high,very high,5more,4,big,low
97,very high,very high,5more,4,big,med
98,very high,very high,5more,4,big,high
99,very high,very high,5more,more,small,low
100,very high,very high,5more,more,small,med
101,very high,very high,5more,more,small,high
102,very high,very high,5more,more,med,low
103,very high,very high,5more,more,med,med
104,very high,very high,5more,more,med,high
105,very high,very high,5more,more,big,low
106,very high,very high,5more,more,big,med
107,very high,very high,5more,more,big,high
108,very high,high,2,2,small,low
109,very high,high,2,2,small,med
110,very high,high,2,2,small,high
111,very high,high,2,2,med,low
112,very high,high,2,2,med,med
113,very high,high,2,2,med,high
114,very high,high,2,2,big,low
115,very high,high,2,2,big,med
116,very high,high,2,2,big,high
117,very high,high,2,4,small,low
118,very high,high,2,4,small,med
119,very high,high,2,4,small,high
120,very high,high,2,4,med,low
121,very high,high,2,4,med,med
122,very high,high,2,4,med,high
123,very high,high,2,4,big,low
124,very high,high,2,4,big,med
125,very high,high,2,4,big,high
126,very high,high,2,more,small,low
127,very high,high,2,more,small,med
128,very high,high,2,more,small,high
129,very high,high,2,more,med,low
130,very high,high,2,more,med,med
131,very high,high,2,more,med,high
132,very high,high,2,more,big,low
133,very high,high,2,more,big,med
134,very high,high,2,more,big,high
135,very high,high,3,2,small,low
136,very high,high,3,2,small,med
137,very high,high,3,2,small,high
138,very high,high,3,2,med,low
139,very high,high,3,2,med,med
140,very high,high,3,2,med,high
141,very high,high,3,2,big,low
142,very high,high,3,2,big,med
143,very high,high,3,2,big,high
144,very high,high,3,4,small,low
145,very high,high,3,4,small,med
146,very high,high,3,4,small,high
147,very high,high,3,4,med,low
148,very high,high,3,4,med,med
149,very high,high,3,4,med,high
150,very high,high,3,4,big,low
151,very high,high,3,4,big,med
152,very high,high,3,4,big,high
