id,top-left-square,top-right-square,top-middle-square,middle-left-square,middle-right-square,middle-middle-square,bottom-left-square,bottom-right-square,bottom-middle-square
0,x,x,x,x,o,o,x,o,o
1,x,x,x,x,o,o,o,x,o
2,x,x,x,x,o,o,o,o,x
3,x,x,x,x,o,o,o,b,b
4,x,x,x,x,o,o,b,o,b
5,x,x,x,x,o,o,b,b,o
6,x,x,x,x,o,b,o,o,b
7,x,x,x,x,o,b,o,b,o
8,x,x,x,x,o,b,b,o,o
9,x,x,x,x,b,o,o,o,b
10,x,x,x,x,b,o,o,b,o
11,x,x,x,x,b,o,b,o,o
12,x,x,x,o,x,o,x,o,o
13,x,x,x,o,x,o,o,x,o
14,x,x,x,o,x,o,o,o,x
15,x,x,x,o,x,o,o,b,b
16,x,x,x,o,x,o,b,o,b
17,x,x,x,o,x,o,b,b,o
18,x,x,x,o,x,b,o,o,b
19,x,x,x,o,x,b,o,b,o
20,x,x,x,o,x,b,b,o,o
21,x,x,x,o,o,x,x,o,o
22,x,x,x,o,o,x,o,x,o
23,x,x,x,o,o,x,o,o,x
24,x,x,x,o,o,x,o,b,b
25,x,x,x,o,o,x,b,o,b
26,x,x,x,o,o,x,b,b,o
27,x,x,x,o,o,b,x,o,b
28,x,x,x,o,o,b,x,b,o
29,x,x,x,o,o,b,o,x,b
30,x,x,x,o,o,b,o,b,x
31,x,x,x,o,o,b,b,x,o
32,x,x,x,o,o,b,b,o,x
33,x,x,x,o,o,b,b,b,b
34,x,x,x,o,b,x,o,o,b
35,x,x,x,o,b,x,o,b,o
36,x,x,x,o,b,x,b,o,o
37,x,x,x,o,b,o,x,o,b
38,x,x,x,o,b,o,x,b,o
39,x,x,x,o,b,o,o,x,b
40,x,x,x,o,b,o,o,b,x
41,x,x,x,o,b,o,b,x,o
42,x,x,x,o,b,o,b,o,x
43,x,x,x,o,b,o,b,b,b
44,x,x,x,o,b,b,x,o,o
45,x,x,x,o,b,b,o,x,o
46,x,x,x,o,b,b,o,o,x
47,x,x,x,o,b,b,o,b,b
48,x,x,x,o,b,b,b,o,b
49,x,x,x,o,b,b,b,b,o
50,x,x,x,b,x,o,o,o,b
51,x,x,x,b,x,o,o,b,o
52,x,x,x,b,x,o,b,o,o
53,x,x,x,b,o,x,o,o,b
54,x,x,x,b,o,x,o,b,o
55,x,x,x,b,o,x,b,o,o
56,x,x,x,b,o,o,x,o,b
57,x,x,x,b,o,o,x,b,o
58,x,x,x,b,o,o,o,x,b
59,x,x,x,b,o,o,o,b,x
60,x,x,x,b,o,o,b,x,o
61,x,x,x,b,o,o,b,o,x
62,x,x,x,b,o,o,b,b,b
63,x,x,x,b,o,b,x,o,o
64,x,x,x,b,o,b,o,x,o
65,x,x,x,b,o,b,o,o,x
66,x,x,x,b,o,b,o,b,b
67,x,x,x,b,o,b,b,o,b
68,x,x,x,b,o,b,b,b,o
69,x,x,x,b,b,o,x,o,o
70,x,x,x,b,b,o,o,x,o
71,x,x,x,b,b,o,o,o,x
72,x,x,x,b,b,o,o,b,b
73,x,x,x,b,b,o,b,o,b
74,x,x,x,b,b,o,b,b,o
75,x,x,x,b,b,b,o,o,b
76,x,x,x,b,b,b,o,b,o
77,x,x,x,b,b,b,b,o,o
78,x,x,o,x,x,o,o,o,x
79,x,x,o,x,o,x,x,o,o
80,x,x,o,x,o,o,x,o,x
81,x,x,o,x,o,o,x,b,b
82,x,x,o,x,o,b,x,o,b
83,x,x,o,x,o,b,x,b,o
84,x,x,o,x,b,o,x,o,b
85,x,x,o,x,b,b,x,o,o
86,x,x,o,o,x,x,o,x,o
87,x,x,o,o,x,x,o,o,x
88,x,x,o,o,x,o,x,o,x
89,x,x,o,o,x,o,o,x,x
90,x,x,o,o,x,o,b,x,b
91,x,x,o,o,x,o,b,b,x
92,x,x,o,o,x,b,o,x,b
93,x,x,o,o,x,b,o,b,x
94,x,x,o,o,x,b,b,x,o
95,x,x,o,o,x,b,b,o,x
96,x,x,o,b,x,o,o,x,b
97,x,x,o,b,x,o,o,b,x
98,x,x,o,b,x,o,b,o,x
99,x,x,o,b,x,b,o,x,o
100,x,x,o,b,x,b,o,o,x
101,x,x,b,x,o,o,x,o,b
102,x,x,b,x,o,o,x,b,o
103,x,x,b,x,o,b,x,o,o
104,x,x,b,x,b,o,x,o,o
105,x,x,b,o,x,o,o,x,b
106,x,x,b,o,x,o,o,b,x
107,x,x,b,o,x,o,b,x,o
108,x,x,b,o,x,o,b,o,x
109,x,x,b,o,x,b,o,x,o
110,x,x,b,o,x,b,o,o,x
111,x,x,b,b,x,o,o,x,o
112,x,x,b,b,x,o,o,o,x
113,x,o,x,x,x,o,x,o,o
114,x,o,x,x,x,o,o,o,x
