id,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed
0,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0
1,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0
2,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0
3,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0
4,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0
5,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896
6,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0
7,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0
8,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0
9,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0
10,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537
11,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836
12,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836
13,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985
14,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836
15,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985
16,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985
17,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836
18,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537
19,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537
20,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537
21,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194
22,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239
23,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985
24,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985
25,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537
26,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836
27,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194
28,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194
29,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985
30,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194
31,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239
32,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239
33,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239
34,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537
35,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985
36,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343
37,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194
38,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642
39,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642
40,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194
41,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284
42,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478
43,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582
44,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284
45,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985
46,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642
47,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582
48,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179
49,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881
50,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836
51,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881
52,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194
53,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836
54,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881
55,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537
56,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284
57,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985
58,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836
59,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836
60,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537
61,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537
62,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239
63,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045
64,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0
65,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045
66,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343
67,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343
