id,target
0,452600
1,358500
2,352100
3,341300
4,342200
5,269700
6,299200
7,241400
8,226700
9,261100
10,281500
11,241800
12,213500
13,191300
14,159200
15,140000
16,152500
17,155500
18,158700
19,162900
20,147500
21,159800
22,113900
23,99700
24,132600
25,107500
26,93800
27,105500
28,108900
29,132000
30,122300
31,115200
32,110400
33,104900
34,109700
35,97200
36,104500
37,103900
38,191400
39,176000
40,155400
41,150000
42,118800
43,188800
44,184400
45,182300
46,142500
47,137500
48,187500
49,112500
50,171900
51,93800
52,97500
53,104200
54,87500
55,83100
56,87500
57,85300
58,80300
59,60000
60,75700
61,75000
62,86100
63,76100
64,73500
65,78400
66,84400
67,81300
68,85000
69,129200
70,82500
71,95200
72,75000
73,67500
74,137500
75,177500
76,102100
77,108300
78,112500
79,131300
80,162500
81,112500
82,112500
83,137500
84,118800
85,98200
86,118800
87,162500
88,137500
89,500001
90,162500
91,137500
92,162500
93,187500
94,179200
95,130000
96,183800
97,125000
98,170000
99,193100
100,257800
101,273400
102,237500
103,350000
104,335700
105,313400
106,268500
107,259400
108,275700
109,225000
110,262500
111,218500
112,255000
113,224100
114,243100
115,231600
116,218500
117,234100
118,327600
119,347600
120,366100
121,335000
122,373600
123,389500
124,391100
125,337300
126,295200
127,292300
128,411500
129,311500
130,325900
131,392600
132,319300
133,333300
134,335200
135,351200
136,368900
137,365900
138,366700
139,362800
140,483300
141,331400
142,323500
143,216700
144,233100
145,296400
146,273700
147,227700
148,199600
149,239800
150,270100
151,302100
152,269500
153,314700
154,390100
155,410300
156,352400
157,287300
158,348700
159,243800
160,211500
161,218400
162,269900
163,218800
164,225000
165,250000
166,171400
167,193800
168,125000
169,97500
170,125000
171,138800
172,116700
173,151800
174,127000
175,128600
176,140600
177,182700
178,146900
179,122800
180,169300
181,126600
182,127900
183,123500
184,111900
185,112800
186,107900
187,137500
188,105500
189,95500
190,116100
191,112200
192,75000
193,112500
194,125000
195,115000
196,95000
197,96400
198,72000
199,71300
200,80800
201,128800
202,112500
203,119400
204,118100
205,122500
206,106300
207,132500
208,122700
209,113300
210,109500
211,164700
212,125000
213,124700
214,136700
215,141700
216,150000
217,138800
218,139200
219,143800
220,156500
221,151000
222,273000
223,217100
224,187100
225,239600
226,229700
227,257300
228,246900
229,179900
230,169600
231,203300
232,263400
233,231800
234,140500
235,126000
236,122000
237,134700
238,139400
239,115400
240,137300
241,137000
242,142600
243,137500
244,111700
245,126800
246,111300
247,114800
248,102300
249,131900
250,119100
251,80600
252,80600
253,88800
254,102400
255,98700
256,100000
257,92300
258,94800
259,102000
260,158400
261,121600
262,129100
263,121400
264,102800
265,160000
266,143900
267,151200
268,164400
269,156500
270,225000
271,174200
272,166900
273,163500
274,253000
275,240700
276,208100
277,198100
278,172800
279,336700
280,318200
281,285800
282,293000
283,371000
284,157300
285,135300
286,136700
287,160700
288,140600
289,144000
290,161900
291,156300
292,176000
293,145800
294,141900
295,90700
296,90600
297,107900
298,107000
299,98200
300,89500
301,93800
302,96700
303,97500
304,97300
305,91200
306,91400
307,96200
