id,target
0,9
1,6
2,6
3,10
4,6
5,8
6,15
7,10
8,13
9,7
10,6
11,10
12,9
13,10
14,11
15,12
16,10
17,7
18,11
19,6
20,7
21,11
22,6
23,5
24,9
25,12
26,8
27,12
28,11
29,8
30,9
31,8
32,7
33,20
34,13
35,8
36,7
37,13
38,8
39,9
40,10
41,5
42,11
43,10
44,8
45,15
46,11
47,10
48,9
49,9
50,8
51,11
52,17
53,11
54,7
55,17
56,9
57,4
58,8
59,12
60,10
61,6
62,7
63,15
64,11
65,12
66,11
67,9
68,11
69,8
70,5
71,6
72,13
73,10
74,6
75,10
76,9
77,13
78,9
79,17
80,11
81,13
82,19
83,9
84,12
85,11
86,9
87,11
88,8
89,26
90,9
91,9
92,9
93,6
94,12
95,8
96,8
97,10
98,10
99,9
100,8
101,11
102,13
103,8
104,11
105,9
106,7
107,7
108,8
109,10
110,13
111,9
112,6
113,11
114,10
115,6
116,17
117,14
118,9
119,7
120,8
121,10
122,5
123,9
124,9
125,9
126,7
127,11
128,10
129,6
130,14
131,10
132,6
133,14
134,6
135,12
136,7
137,23
138,6
139,13
140,8
141,15
142,8
143,8
144,8
145,9
146,7
147,10
148,8
149,13
150,11
151,14
152,12
153,9
154,10
155,8
156,14
157,9
158,15
159,9
160,9
161,11
162,10
163,9
164,11
165,8
166,10
167,10
168,7
169,7
170,11
171,15
172,10
173,5
174,10
175,11
176,8
177,8
178,10
179,10
180,11
181,8
182,9
183,6
184,9
185,11
186,7
187,9
188,8
189,8
190,9
191,11
192,10
193,18
194,12
195,7
196,11
197,9
198,16
199,10
200,8
201,9
202,8
203,6
204,8
205,10
206,11
207,6
208,8
209,14
210,11
211,10
212,7
213,18
214,17
215,10
216,9
217,15
218,11
219,10
220,6
221,6
222,7
223,7
224,16
225,18
226,10
227,20
228,10
229,11
230,16
231,15
232,10
233,11
234,5
235,6
236,10
237,6
238,15
239,6
240,8
241,12
242,10
243,12
244,11
245,7
246,12
247,12
248,8
249,8
250,7
251,8
252,11
253,6
254,6
255,7
256,9
257,11
258,6
259,10
260,9
261,15
262,8
263,8
264,10
265,10
266,7
267,8
268,9
269,6
270,8
271,9
272,8
273,9
274,10
275,5
276,8
