id,target
0,good
1,best
2,low
3,good
4,good
5,best
6,good
7,best
8,average
9,good
10,low
11,good
12,low
13,best
14,good
15,best
16,average
17,best
18,low
19,good
20,average
21,average
22,average
23,good
24,good
25,good
26,average
27,good
28,average
29,good
30,low
31,best
32,average
33,good
34,good
35,low
36,good
37,good
38,low
39,best
40,good
41,best
42,best
43,best
44,good
45,low
46,good
47,good
48,good
49,good
50,best
51,low
52,best
53,good
54,average
55,none
56,good
57,good
58,good
59,average
60,good
61,none
62,low
63,good
64,good
65,good
66,good
67,good
68,average
69,none
70,good
71,good
72,good
73,best
74,good
75,none
76,none
77,good
78,low
79,low
80,average
81,best
82,good
83,average
84,best
85,good
86,none
87,low
88,best
89,best
90,none
91,best
92,best
93,best
94,best
95,low
96,none
97,best
98,none
99,good
100,low
101,low
102,low
103,average
104,good
105,good
106,best
107,good
108,none
109,none
110,average
111,best
112,best
113,low
114,good
115,best
116,best
117,best
118,none
119,low
120,best
121,low
122,none
123,good
124,none
125,low
126,none
127,best
128,good
129,good
130,good
131,best
132,none
133,low
134,best
135,best
136,best
137,low
138,average
139,best
140,best
141,good
142,low
143,none
144,good
145,none
146,none
147,low
148,best
149,low
150,low
151,good
152,good
153,best
154,low
155,low
156,average
157,best
158,good
159,best
160,good
161,good
162,low
163,low
164,low
165,none
166,average
167,best
168,average
169,low
170,low
171,average
172,average
173,best
174,good
175,best
176,good
177,low
178,good
179,good
180,none
181,best
182,good
183,good
184,best
185,average
186,low
187,none
188,none
189,none
190,average
191,good
192,average
193,low
194,good
195,best
196,good
197,good
198,best
199,best
200,best
201,none
202,best
203,low
204,average
205,best
206,good
207,best
208,low
209,low
210,low
211,low
212,average
213,average
214,low
215,average
216,good
217,good
218,average
219,good
220,average
221,best
222,low
223,best
224,best
225,good
226,good
227,good
228,good
229,good
230,good
231,average
232,low
233,low
234,average
235,none
236,none
237,none
238,none
239,none
240,none
241,none
242,none
243,none
244,none
245,none
246,none
247,none
248,none
249,none
250,none
251,none
252,none
253,none
254,none
255,none
256,none
257,none
258,none
259,none
260,low
261,none
262,low
263,none
264,low
265,best
266,good
267,average
268,good
269,good
270,best
271,none
272,good
273,good
274,none
275,average
276,best
277,best
278,best
279,low
280,low
281,average
282,low
283,low
284,low
285,none
286,low
287,low
288,good
289,good
290,none
291,none
292,good
293,average
294,low
295,average
296,low
297,average
298,average
299,none
300,none
301,average
302,average
303,average
304,low
305,low
306,low
307,low
308,low
309,best
310,good
311,average
312,best
313,average
314,none
315,none
316,none
317,best
318,low
319,none
320,low
321,none
322,best
323,average
324,average
325,best
326,best
327,low
328,low
329,good
330,good
331,good
332,average
333,good
334,good
335,good
336,average
337,average
338,good
339,average
340,average
341,good
342,low
343,average
344,none
345,average
346,good
347,good
348,good
349,good
350,best
351,average
352,average
353,good
354,good
355,good
356,good
357,best
358,average
359,good
360,best
361,best
362,average
363,good
364,none
365,good
366,average
367,good
368,good
369,average
370,good
371,average
372,good
373,good
374,average
375,good
376,good
377,average
378,none
379,best
380,best
381,good
382,good
383,good
384,none
385,average
386,good
387,good
388,good
389,average
390,average
391,none
392,average
393,average
394,low
395,low
396,good
397,none
398,none
399,good
400,average
401,none
402,low
403,average
404,good
405,good
406,average
407,good
408,good
409,average
410,low
411,none
412,good
413,good
414,none
415,none
416,average
417,low
418,low
419,best
420,best
421,average
422,low
423,average
424,low
425,average
426,low
427,average
428,best
429,low
430,none
431,none
432,good
433,low
434,low
435,average
436,none
437,good
438,best
439,good
440,low
441,low
442,average
443,best
444,good
445,good
446,good
447,best
448,good
449,good
450,average
451,average
452,average
453,good
454,good
455,good
456,good
457,low
458,none
459,good
460,good
461,none
462,good
463,low
464,none
465,good
466,good
467,none
468,good
469,low
470,good
471,good
472,good
473,good
474,low
475,good
476,low
477,good
478,good
479,good
480,good
481,good
482,average
483,average
484,good
485,good
486,low
487,average
488,good
489,average
490,average
491,average
492,average
493,low
494,low
495,none
496,average
497,good
498,average
499,none
500,low
501,good
502,average
503,good
504,average
505,none
506,average
507,none
508,good
509,none
510,average
511,low
512,average
513,average
514,good
515,none
516,good
517,average
518,good
519,low
520,average
521,low
522,best
523,none
524,average
525,good
526,none
527,none
528,good
529,good
530,average
531,good
532,good
533,none
534,low
535,none
536,average
537,none
538,none
539,good
540,good
541,best
542,good
543,none
544,none
545,good
546,good
547,average
548,none
549,low
550,low
551,good
552,good
553,good
554,best
555,none
556,none
557,good
558,average
559,average
560,average
561,average
562,none
563,average
564,none
565,low
566,average
567,average
568,good
569,best
570,best
571,good
572,none
573,none
574,best
575,good
576,good
577,good
578,good
579,best
580,good
581,good
582,good
583,average
584,good
585,good
586,good
587,good
588,good
589,average
590,good
591,good
592,good
593,best
594,low
595,good
596,best
597,good
598,average
599,best
600,low
601,best
602,best
603,best
604,average
605,good
606,best
607,good
608,good
609,best
610,none
611,good
612,best
613,none
614,best
615,average
616,average
617,low
618,good
619,good
620,good
621,best
622,good
623,good
624,best
625,best
626,low
627,good
628,none
629,none
630,low
631,none
632,average
633,none
634,none
635,low
636,best
637,best
638,low
639,average
640,average
641,low
642,low
643,good
644,average
645,average
646,average
647,best
648,good
649,best
650,average
651,average
652,average
653,best
654,good
655,average
656,best
657,average
658,good
659,good
660,average
661,average
662,none
663,none
664,none
665,none
666,none
667,none
668,none
669,none
670,none
671,none
672,none
673,none
674,none
675,none
676,none
677,none
678,none
679,none
680,none
681,none
682,none
683,none
684,none
685,none
686,none
687,none
688,none
689,none
690,none
691,none
692,none
693,none
694,none
695,none
696,none
697,none
698,none
699,none
700,none
701,none
702,none
703,none
704,none
705,none
706,none
707,none
708,none
709,none
710,none
711,none
712,none
713,none
714,none
715,none
716,none
717,none
718,none
719,none
720,none
721,none
722,none
723,none
724,none
725,none
726,none
727,none
728,none
729,none
730,none
731,average
732,good
733,good
734,good
735,average
