id,target
0,unacceptable
1,unacceptable
2,unacceptable
3,unacceptable
4,unacceptable
5,unacceptable
6,unacceptable
7,unacceptable
8,unacceptable
9,unacceptable
10,unacceptable
11,unacceptable
12,unacceptable
13,unacceptable
14,unacceptable
15,unacceptable
16,unacceptable
17,unacceptable
18,unacceptable
19,unacceptable
20,unacceptable
21,unacceptable
22,unacceptable
23,unacceptable
24,unacceptable
25,unacceptable
26,unacceptable
27,unacceptable
28,unacceptable
29,unacceptable
30,unacceptable
31,unacceptable
32,unacceptable
33,unacceptable
34,unacceptable
35,unacceptable
36,unacceptable
37,unacceptable
38,unacceptable
39,unacceptable
40,unacceptable
41,unacceptable
42,unacceptable
43,unacceptable
44,unacceptable
45,unacceptable
46,unacceptable
47,unacceptable
48,unacceptable
49,unacceptable
50,unacceptable
51,unacceptable
52,unacceptable
53,unacceptable
54,unacceptable
55,unacceptable
56,unacceptable
57,unacceptable
58,unacceptable
59,unacceptable
60,unacceptable
61,unacceptable
62,unacceptable
63,unacceptable
64,unacceptable
65,unacceptable
66,unacceptable
67,unacceptable
68,unacceptable
69,unacceptable
70,unacceptable
71,unacceptable
72,unacceptable
73,unacceptable
74,unacceptable
75,unacceptable
76,unacceptable
77,unacceptable
78,unacceptable
79,unacceptable
80,unacceptable
81,unacceptable
82,unacceptable
83,unacceptable
84,unacceptable
85,unacceptable
86,unacceptable
87,unacceptable
88,unacceptable
89,unacceptable
90,unacceptable
91,unacceptable
92,unacceptable
93,unacceptable
94,unacceptable
95,unacceptable
96,unacceptable
97,unacceptable
98,unacceptable
99,unacceptable
100,unacceptable
101,unacceptable
102,unacceptable
103,unacceptable
104,unacceptable
105,unacceptable
106,unacceptable
107,unacceptable
108,unacceptable
109,unacceptable
110,unacceptable
111,unacceptable
112,unacceptable
113,unacceptable
114,unacceptable
115,unacceptable
116,unacceptable
117,unacceptable
118,unacceptable
119,unacceptable
120,unacceptable
121,unacceptable
122,unacceptable
123,unacceptable
124,unacceptable
125,unacceptable
126,unacceptable
127,unacceptable
128,unacceptable
129,unacceptable
130,unacceptable
131,unacceptable
132,unacceptable
133,unacceptable
134,unacceptable
135,unacceptable
136,unacceptable
137,unacceptable
138,unacceptable
139,unacceptable
140,unacceptable
141,unacceptable
142,unacceptable
143,unacceptable
144,unacceptable
145,unacceptable
146,unacceptable
147,unacceptable
148,unacceptable
149,unacceptable
150,unacceptable
151,unacceptable
152,unacceptable
153,unacceptable
154,unacceptable
155,unacceptable
156,unacceptable
157,unacceptable
158,unacceptable
159,unacceptable
160,unacceptable
161,unacceptable
162,unacceptable
163,unacceptable
164,unacceptable
165,unacceptable
166,unacceptable
167,unacceptable
168,unacceptable
169,unacceptable
170,unacceptable
171,unacceptable
172,unacceptable
173,unacceptable
174,unacceptable
175,unacceptable
176,unacceptable
177,unacceptable
178,unacceptable
179,unacceptable
180,unacceptable
181,unacceptable
182,unacceptable
183,unacceptable
184,unacceptable
185,unacceptable
186,unacceptable
187,unacceptable
188,unacceptable
189,unacceptable
190,unacceptable
191,unacceptable
192,unacceptable
193,unacceptable
194,unacceptable
195,unacceptable
196,unacceptable
197,unacceptable
198,unacceptable
199,unacceptable
200,unacceptable
201,unacceptable
202,unacceptable
203,unacceptable
204,unacceptable
205,unacceptable
206,unacceptable
207,unacceptable
208,unacceptable
209,unacceptable
210,unacceptable
211,unacceptable
212,unacceptable
213,unacceptable
214,unacceptable
215,unacceptable
216,unacceptable
217,unacceptable
218,unacceptable
219,unacceptable
220,unacceptable
221,unacceptable
222,unacceptable
223,unacceptable
224,unacceptable
225,unacceptable
226,unacceptable
227,acceptable
228,unacceptable
229,unacceptable
230,acceptable
231,unacceptable
232,acceptable
233,acceptable
234,unacceptable
235,unacceptable
236,unacceptable
237,unacceptable
238,unacceptable
239,acceptable
240,unacceptable
241,acceptable
242,acceptable
243,unacceptable
244,unacceptable
245,unacceptable
246,unacceptable
247,unacceptable
248,unacceptable
249,unacceptable
250,unacceptable
251,unacceptable
252,unacceptable
253,unacceptable
254,acceptable
255,unacceptable
256,unacceptable
257,acceptable
258,unacceptable
259,acceptable
260,acceptable
261,unacceptable
262,unacceptable
263,acceptable
264,unacceptable
265,acceptable
266,acceptable
267,unacceptable
268,acceptable
269,acceptable
270,unacceptable
271,unacceptable
272,unacceptable
273,unacceptable
274,unacceptable
275,unacceptable
276,unacceptable
277,unacceptable
278,unacceptable
279,unacceptable
280,unacceptable
281,acceptable
282,unacceptable
283,acceptable
284,acceptable
285,unacceptable
286,acceptable
287,acceptable
288,unacceptable
289,unacceptable
290,acceptable
291,unacceptable
292,acceptable
293,acceptable
294,unacceptable
295,acceptable
296,acceptable
297,unacceptable
298,unacceptable
299,unacceptable
300,unacceptable
301,unacceptable
302,unacceptable
303,unacceptable
304,unacceptable
305,unacceptable
306,unacceptable
307,unacceptable
308,acceptable
309,unacceptable
310,acceptable
311,acceptable
312,unacceptable
313,acceptable
314,acceptable
315,unacceptable
316,unacceptable
317,acceptable
318,unacceptable
319,acceptable
320,acceptable
321,unacceptable
322,acceptable
323,acceptable
324,unacceptable
325,unacceptable
326,unacceptable
327,unacceptable
328,unacceptable
329,unacceptable
330,unacceptable
331,unacceptable
332,unacceptable
333,unacceptable
334,unacceptable
335,acceptable
336,unacceptable
337,unacceptable
338,acceptable
339,unacceptable
340,acceptable
341,acceptable
342,unacceptable
343,unacceptable
344,unacceptable
345,unacceptable
346,unacceptable
347,acceptable
348,unacceptable
349,acceptable
350,acceptable
351,unacceptable
352,unacceptable
353,unacceptable
354,unacceptable
355,unacceptable
356,unacceptable
357,unacceptable
358,unacceptable
359,unacceptable
360,unacceptable
361,unacceptable
362,acceptable
363,unacceptable
364,unacceptable
365,acceptable
366,unacceptable
367,acceptable
368,acceptable
369,unacceptable
370,unacceptable
371,acceptable
372,unacceptable
373,acceptable
