id,target
0,balanced
1,right
2,right
3,right
4,right
5,right
6,right
7,right
8,right
9,right
10,right
11,right
12,right
13,right
14,right
15,right
16,right
17,right
18,right
19,right
20,right
21,right
22,right
23,right
24,right
25,left
26,balanced
27,right
28,right
29,right
30,balanced
31,right
32,right
33,right
34,right
35,right
36,right
37,right
38,right
39,right
40,right
41,right
42,right
43,right
44,right
45,right
46,right
47,right
48,right
49,right
50,left
51,left
52,balanced
53,right
54,right
55,left
56,right
57,right
58,right
59,right
60,balanced
61,right
62,right
63,right
64,right
65,right
66,right
67,right
68,right
69,right
70,right
71,right
72,right
73,right
74,right
75,left
76,left
77,left
78,balanced
79,right
80,left
81,balanced
82,right
83,right
84,right
85,left
86,right
87,right
88,right
89,right
90,balanced
91,right
92,right
93,right
94,right
95,right
96,right
97,right
98,right
99,right
100,left
101,left
102,left
103,left
104,balanced
105,left
106,left
107,right
108,right
109,right
110,left
111,right
112,right
113,right
114,right
115,left
116,right
117,right
118,right
119,right
120,balanced
121,right
122,right
123,right
124,right
125,left
126,balanced
127,right
128,right
129,right
130,balanced
131,right
132,right
133,right
134,right
135,right
136,right
137,right
138,right
139,right
140,right
141,right
142,right
143,right
144,right
145,right
146,right
147,right
148,right
149,right
150,left
151,left
152,left
153,balanced
154,right
155,left
156,balanced
157,right
158,right
159,right
160,left
161,right
162,right
163,right
164,right
165,balanced
166,right
167,right
168,right
169,right
170,right
171,right
172,right
173,right
174,right
175,left
176,left
177,left
178,left
179,left
180,left
181,left
182,balanced
183,right
184,right
185,left
186,balanced
187,right
188,right
189,right
190,left
191,right
192,right
193,right
194,right
195,left
196,right
197,right
198,right
199,right
200,left
201,left
202,left
203,left
204,left
205,left
206,left
207,left
208,balanced
209,right
210,left
211,left
212,right
213,right
214,right
215,left
216,balanced
217,right
218,right
219,right
220,left
221,right
222,right
223,right
224,right
225,left
226,left
227,left
228,left
229,left
230,left
231,left
232,left
233,left
234,balanced
235,left
236,left
237,left
238,right
239,right
240,left
241,left
242,right
243,right
244,right
245,left
246,balanced
247,right
248,right
249,right
250,left
251,left
252,balanced
253,right
254,right
255,left
256,right
257,right
258,right
259,right
260,balanced
261,right
262,right
263,right
264,right
265,right
266,right
267,right
268,right
269,right
270,right
271,right
272,right
273,right
274,right
275,left
276,left
277,left
278,left
279,left
280,left
281,left
282,balanced
283,right
284,right
285,left
286,balanced
287,right
288,right
289,right
290,left
291,right
292,right
293,right
294,right
295,left
296,right
297,right
298,right
299,right
300,left
301,left
302,left
303,left
304,left
305,left
306,left
307,left
308,left
309,right
310,left
311,left
312,balanced
313,right
314,right
315,left
316,left
317,right
318,right
319,right
320,left
321,right
322,right
323,right
324,right
325,left
326,left
327,left
328,left
329,left
330,left
331,left
332,left
333,left
334,left
335,left
336,left
337,left
338,balanced
339,right
340,left
341,left
342,balanced
343,right
344,right
345,left
346,left
347,right
348,right
349,right
350,left
351,left
352,left
353,left
354,left
355,left
356,left
357,left
358,left
359,left
360,left
361,left
362,left
363,left
364,balanced
365,left
366,left
367,left
368,right
369,right
370,left
371,left
372,balanced
373,right
374,right
375,left
376,left
377,left
378,balanced
379,right
380,left
381,balanced
382,right
383,right
384,right
385,left
386,right
387,right
388,right
389,right
390,balanced
391,right
392,right
393,right
394,right
395,right
396,right
397,right
398,right
399,right
400,left
401,left
402,left
403,left
404,left
405,left
406,left
407,left
408,balanced
409,right
410,left
411,left
412,right
413,right
414,right
415,left
416,balanced
417,right
418,right
419,right
420,left
421,right
422,right
423,right
424,right
425,left
426,left
427,left
428,left
429,left
430,left
431,left
432,left
433,left
434,left
435,left
436,left
437,left
438,balanced
439,right
440,left
441,left
442,balanced
443,right
444,right
445,left
446,left
447,right
448,right
449,right
450,left
451,left
452,left
453,left
454,left
455,left
456,left
457,left
458,left
459,left
460,left
461,left
462,left
463,left
464,left
465,left
466,left
467,left
468,balanced
469,right
470,left
471,left
472,left
473,right
474,right
475,left
476,left
477,left
478,left
479,left
480,left
481,left
482,left
483,left
484,left
485,left
486,left
487,left
488,left
489,left
490,left
491,left
492,left
493,left
494,balanced
495,left
496,left
497,left
498,balanced
499,right
500,left
501,left
502,left
503,left
504,balanced
505,left
506,left
507,right
508,right
509,right
510,left
511,right
512,right
513,right
514,right
515,left
516,right
517,right
518,right
519,right
520,balanced
521,right
522,right
523,right
524,right
525,left
526,left
527,left
528,left
529,left
530,left
531,left
532,left
533,left
534,balanced
535,left
536,left
537,left
538,right
539,right
540,left
541,left
542,right
543,right
544,right
545,left
546,balanced
547,right
548,right
549,right
550,left
551,left
552,left
553,left
554,left
555,left
556,left
557,left
558,left
559,left
560,left
561,left
562,left
563,left
564,balanced
565,left
566,left
567,left
568,right
569,right
570,left
571,left
572,balanced
573,right
574,right
575,left
576,left
577,left
578,left
579,left
580,left
581,left
582,left
583,left
584,left
585,left
586,left
587,left
588,left
589,left
590,left
591,left
592,left
593,left
594,balanced
595,left
596,left
597,left
598,balanced
599,right
600,left
601,left
602,left
603,left
604,left
605,left
606,left
607,left
608,left
609,left
610,left
611,left
612,left
613,left
614,left
615,left
616,left
617,left
618,left
619,left
620,left
621,left
622,left
623,left
624,balanced
